sec/syncMAX:,max value of sec/sync,
secC2C:,time from creating an event to knowing its consensus (in seconds),
SecC2H:,time from knowing consensus for a transaction to handling it (in seconds),
secC2R:,time from another member creating an event to receiving it and veryfing the signature (in seconds),
secC2RC:,time from another member creating an event to it being received and and knowing  consensus for it (in seconds),
secOR2T:,other event consensus timestamp minus time received (in seconds),
secR2C:,time from receiving an event to knowing its consensus (in seconds),
secR2F:,time from a round's first received event to all the famous witnesses being known (in seconds),
secR2nR:,time from first event received in one round to first event received in the next round (in seconds),
secSC2T:,self event consensus timestamp minus time created (in seconds),
secTransH:,avg time to handle a consensus transaction in SwirldState.handleTransaction (in seconds),
shouldCreateEvent:,shouldCreateEvent,
shuffleMicros:,average time spent in SwirldStateManagerSingle.Shuffler#shuffle() method (in microseconds),
SignedState.swh:,Size of SignedState.swh bytes,
sigStateHash:,average time it takes to create a new SignedState (in seconds),
simCallSyncsMax:,max number of syncs this can initiate simultaneously,
simListenSyncs:,avg number of simultaneous listening syncs happening at any given time,
simSyncs:,avg number of simultaneous syncs happening at any given time,
sleep1/sec:,sleeps per second because caller thread had too many failed connects,
staleEv/sec:,number of stale events per second,
staleEvTot:,total number of stale events ever,
startsReconnectAsReceiver:,number of times a node starts reconnect as a receiver,
startsReconnectAsSender:,number of times a node starts reconnect as a sender,
stateArchivalQueueAvg:,avg length of the state archival queue,
stateArchivalTimeAvg:,avg time to archive a signed state (in microseconds),
stateCopyMicros:,average time it takes the SwirldState.copy() method in SwirldState to finish (in microseconds),
stateDeletionQueueAvg:,avg length of the state deletion queue,
stateDeletionTimeAvg:,avg time it takes to delete a signed state (in microseconds),
stateSigs:,number of signatures collected on each signed state,
statesInMemory:,the number of State objects in memory,
stateToHashSignDepth:,average depth of the stateToHashSign queue (number of SignedStates),
stateToHashSignDepth:,average depth of the stateToHashSign queue (number of SignedStates),
sync/secC:,(call syncs) syncs completed per second initiated by this member,
sync/secR:,(receive syncs) syncs completed per second initiated by other member,
syncGenDiff:,number of generation ahead (positive) or behind (negative) when syncing,
threads:,the current number of live threads,
time:,the current time,
timeFracAdd:,fraction of each second spent adding an event to the hashgraph and finding consensus,
timeFracDot:,fraction of each second spent on dot products,
tips/sync:,the average number of tips per sync at the start of each sync,
TLS:,1 if using TLS 0 if not,
trans:,number of transactions received so far,
trans/event:,number of app transactions in each event,
trans/event_sys:,number of system transactions in each event,
trans/sec:,number of app transactions received per second (from unique events created by self and others),
trans/sec_sys:,number of system transactions received per second (from unique events created by self and others),
transCons:,transCons queue size,
transEvent:,transEvent queue size,
transH/sec:,number of consensus transactions per second handled by SwirldState.handleTransaction(),
transThrottleCallAndCreate:,transThrottleCallAndCreate,
write:,the app claimed to log statistics every this many milliseconds,
Dig/sec:,number of digests per second (complete),
DigBatches/sec:,average: digest batches created per second,
DigBatchSz:,average digest batch size,
DigLockUp/sec:,average digest lock upgrades per second,
DigPulse/sec:,average digest worker pulses per second,
DigQuDepth:,average digest queue depth,
DigSliceSz:,average digest slice size,
DigSpans/sec:,average: digest batch spans per second,
DigSubWrkItmTime:,average: time spent (in millis) in digest submission,
DigWrkTime:,average: time spent (in millis) in digest worker pulses,
MaxDigBatchSz:,maximum digest batch size,
MaxSigBatchSz:,maximum signature batch size,
MinDigBatchSz:,minimum digest batch size,
MinSigBatchSz:,minimum signature batch size,
PlatSigEnqueueTime:,average time spent (in millis) by the platform enqueuing signatures,
PlatSigExpandTime:,average time spent (in millis) by the platform calling the expandSignatures method,
Sig/sec:,number of signature verifications per second (complete),
SigBatches/sec:,average: signature verification batches created per second,
SigBatchSz:,average signature batch size,
SigIntakeEnqueueTime:,average time spent (in millis) of each intake enqueue call,
SigIntakeListSize:,average size of each list sent to the intake worker,
SigIntakePulse/sec:,number of times the signature intake worker thread is executed per second,
SigIntakePulseTime:,average time spent (in millis) of each signature intake execution,
SigIntakeQueueDepth:,depth of the signature intake queue,
SigInval/sec:,number of invalid signatures per second,
SigLockUp/sec:,average Signature lock upgrades per second,
SigPulse/sec:,average Signature worker pulses per second,
SigQuDepth:,average signature queue depth,
SigSliceSz:,average signature slice size,
SigSpans/sec:,average: signature verification batch spans per second,
SigSubWrkItmTime:,average: time spent (in millis) in signature verification submission,
SigVal/sec:,number of valid signatures per second,
SigWrkTime:,average: time spent (in millis) in signature worker pulses,
TtlDig:,running total: digests computed,
TtlSig:,running total: Signatures Verified,
TtlSigInval:,running total: invalid signatures verified,
TtlSigVal:,running total: valid signatures verified,
accountsPercentUsed:,instantaneous % used of accounts system limit,
addLiveHashHdl:,number of addLiveHash handled,
addLiveHashHdl/sec:,number of addLiveHash handled per second,
addLiveHashRcv:,number of addLiveHash received,
addLiveHashRcv/sec:,number of addLiveHash received per second,
addLiveHashSub:,number of addLiveHash submitted,
addLiveHashSub/sec:,number of addLiveHash submitted per second,
appendContentHdl:,number of appendContent handled,
appendContentHdl/sec:,number of appendContent handled per second,
appendContentRcv:,number of appendContent received,
appendContentRcv/sec:,number of appendContent received per second,
appendContentSub:,number of appendContent submitted,
appendContentSub/sec:,number of appendContent submitted per second,
approveAllowancesHdl:,number of approveAllowances handled,
approveAllowancesHdl/sec:,number of approveAllowances handled per second,
approveAllowancesRcv:,number of approveAllowances received,
approveAllowancesRcv/sec:,number of approveAllowances received per second,
approveAllowancesSub:,number of approveAllowances submitted,
approveAllowancesSub/sec:,number of approveAllowances submitted per second,
associateTokensHdl:,number of associateTokens handled,
associateTokensHdl/sec:,number of associateTokens handled per second,
associateTokensRcv:,number of associateTokens received,
associateTokensRcv/sec:,number of associateTokens received per second,
associateTokensSub:,number of associateTokens submitted,
associateTokensSub/sec:,number of associateTokens submitted per second,
avgAcctLookupRetryAttempts:,average number of retry attempts made to lookup the account number,
avgAcctRetryWaitMs:,average time is millis spent waiting to lookup the account number,
avgHdlSubMsgSize:,average size of the handled HCS submit message transaction,
burnTokenHdl:,number of burnToken handled,
burnTokenHdl/sec:,number of burnToken handled per second,
burnTokenRcv:,number of burnToken received,
burnTokenRcv/sec:,number of burnToken received per second,
burnTokenSub:,number of burnToken submitted,
burnTokenSub/sec:,number of burnToken submitted per second,
callEthereumHdl:,number of callEthereum handled,
callEthereumHdl/sec:,number of callEthereum handled per second,
callEthereumRcv:,number of callEthereum received,
callEthereumRcv/sec:,number of callEthereum received per second,
callEthereumSub:,number of callEthereum submitted,
callEthereumSub/sec:,number of callEthereum submitted per second,
consCreationLimitsPercentUsed:,instantaneous % used in cons CreationLimits throttle bucket,
consGasPercentUsed:,instantaneous % used in cons Gas throttle bucket,
consThroughputLimitsPercentUsed:,instantaneous % used in cons ThroughputLimits throttle bucket,
ContractAutoRenewHdl:,number of ContractAutoRenew handled,
ContractAutoRenewHdl/sec:,number of ContractAutoRenew handled per second,
ContractAutoRenewRcv:,number of ContractAutoRenew received,
ContractAutoRenewRcv/sec:,number of ContractAutoRenew received per second,
ContractAutoRenewSub:,number of ContractAutoRenew submitted,
ContractAutoRenewSub/sec:,number of ContractAutoRenew submitted per second,
contractCallLocalMethodRcv:,number of contractCallLocalMethod received,
contractCallLocalMethodRcv/sec:,number of contractCallLocalMethod received per second,
contractCallLocalMethodSub:,number of contractCallLocalMethod answered,
contractCallLocalMethodSub/sec:,number of contractCallLocalMethod answered per second,
contractCallMethodHdl:,number of contractCallMethod handled,
contractCallMethodHdl/sec:,number of contractCallMethod handled per second,
contractCallMethodRcv:,number of contractCallMethod received,
contractCallMethodRcv/sec:,number of contractCallMethod received per second,
contractCallMethodSub:,number of contractCallMethod submitted,
contractCallMethodSub/sec:,number of contractCallMethod submitted per second,
ContractGetBytecodeRcv:,number of ContractGetBytecode received,
ContractGetBytecodeRcv/sec:,number of ContractGetBytecode received per second,
ContractGetBytecodeSub:,number of ContractGetBytecode answered,
ContractGetBytecodeSub/sec:,number of ContractGetBytecode answered per second,
contractsPercentUsed:,instantaneous % used of contracts system limit,
createAccountHdl:,number of createAccount handled,
createAccountHdl/sec:,number of createAccount handled per second,
createAccountRcv:,number of createAccount received,
createAccountRcv/sec:,number of createAccount received per second,
createAccountSub:,number of createAccount submitted,
